person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
33,45000,MORTGAGE,17.0,HOMEIMPROVEMENT,A,10800,7.51,1,0.24,N,8
30,45000,MORTGAGE,5.0,VENTURE,B,8000,10.36,0,0.18,N,9
32,54000,MORTGAGE,9.0,VENTURE,C,13000,12.53,0,0.24,Y,10
27,69790,RENT,6.0,DEBTCONSOLIDATION,B,18000,10.25,0,0.26,N,9
28,79200,RENT,6.0,MEDICAL,A,10000,7.66,0,0.13,N,10
27,144000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,21000,13.57,0,0.15,Y,8
30,31000,RENT,7.0,MEDICAL,D,4750,14.84,1,0.15,N,9
43,69000,RENT,0.0,DEBTCONSOLIDATION,A,2000,8.9,0,0.03,N,17
26,32000,RENT,4.0,DEBTCONSOLIDATION,A,12250,,1,0.38,N,2
40,8628,OWN,,DEBTCONSOLIDATION,A,2500,,1,0.29,N,17
25,77078,MORTGAGE,1.0,DEBTCONSOLIDATION,B,3425,12.18,0,0.04,N,2
51,18408,RENT,,PERSONAL,C,1000,14.65,1,0.05,Y,20
25,5000,RENT,0.0,EDUCATION,B,1000,9.64,1,0.2,N,4
34,32000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,2275,6.17,0,0.07,N,6
30,79000,RENT,5.0,EDUCATION,F,15000,,0,0.19,N,7
23,74000,MORTGAGE,4.0,VENTURE,B,20000,11.48,0,0.27,N,4
22,41000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,7000,7.9,1,0.17,N,2
26,69000,MORTGAGE,10.0,DEBTCONSOLIDATION,D,6200,15.99,1,0.09,Y,3
28,60000,RENT,3.0,PERSONAL,A,12000,6.17,0,0.2,N,6
24,20400,RENT,3.0,DEBTCONSOLIDATION,C,7550,14.79,1,0.37,Y,3
22,60000,MORTGAGE,6.0,VENTURE,A,6125,6.17,0,0.1,N,3
23,44248,RENT,,EDUCATION,A,13200,,0,0.3,N,2
22,19200,RENT,6.0,PERSONAL,B,4400,11.49,1,0.23,N,2
22,48000,MORTGAGE,6.0,EDUCATION,A,9925,9.63,0,0.21,N,2
25,52000,RENT,5.0,MEDICAL,B,19000,,1,0.37,N,4
23,15600,RENT,1.0,VENTURE,A,4500,5.99,1,0.29,N,4
27,60000,RENT,6.0,DEBTCONSOLIDATION,B,4500,12.69,0,0.07,N,7
26,75000,MORTGAGE,10.0,HOMEIMPROVEMENT,C,8000,13.92,0,0.11,N,4
22,15000,RENT,3.0,EDUCATION,B,3000,9.91,1,0.2,N,3
33,75000,MORTGAGE,13.0,MEDICAL,B,25000,10.65,0,0.33,N,7
29,44000,RENT,0.0,PERSONAL,B,15000,11.86,1,0.34,N,9
33,57500,MORTGAGE,0.0,MEDICAL,A,15000,6.03,0,0.26,N,7
26,18000,RENT,0.0,EDUCATION,B,1500,11.36,0,0.08,N,2
25,19200,RENT,0.0,DEBTCONSOLIDATION,C,3800,14.35,1,0.2,Y,4
