Feature,Coefficient
num__person_age,0.007628829973151383
num__person_income,0.02929499315866741
num__person_emp_length,-0.019374262596923018
num__loan_amnt,-0.5573500686186741
num__loan_int_rate,0.8875231134447991
num__loan_percent_income,1.2810063635284041
num__cb_person_cred_hist_length,-0.0156934067456604
cat__person_home_ownership_MORTGAGE,0.0611836325268717
cat__person_home_ownership_OTHER,0.3080114660226011
cat__person_home_ownership_OWN,-1.456169198822562
cat__person_home_ownership_RENT,0.6796344253655896
cat__loan_intent_DEBTCONSOLIDATION,0.30682208480228224
cat__loan_intent_EDUCATION,-0.415678028103817
cat__loan_intent_HOMEIMPROVEMENT,0.4512725971053298
cat__loan_intent_MEDICAL,0.18982721744359415
cat__loan_intent_PERSONAL,-0.183443237563946
cat__loan_intent_VENTURE,-0.7561403085909458
cat__cb_person_default_on_file_N,-0.3422671285266518
cat__cb_person_default_on_file_Y,-0.06507254638084449
