,AUC,GINI,PR-AUC,KS,Brier,LogLoss,Precision,Recall,F1-Score,Confusion Matrix
Random Forest,0.927779763788982,0.8555595275779639,0.8678564636451019,0.7023166744894284,0.06741054166027313,0.25184554974703693,0.9335863377609108,0.6809688581314879,0.787515006002401,"[[5002, 70], [461, 984]]"
Gradient Boost,0.921166955828016,0.842333911656032,0.8596529155236534,0.689227877086413,0.07004389611055577,0.2473050271687744,0.9478527607361963,0.6518987341772152,0.7725,"[[5044, 51], [495, 927]]"
Logistic Regression,0.8556582457912876,0.7113164915825751,0.6863391638961553,0.5587770476281178,0.15263337501283755,0.46568403078921844,0.48789079700572435,0.7791842475386779,0.6000541565123206,"[[3932, 1163], [314, 1108]]"
Neural Net,0.8054935363720835,0.6109870727441671,0.5774311944582824,0.4759142830369286,0.14186322132853998,0.4414852184581426,,,,"[[4428, 15], [1208, 77]]"
Ensemble Bagging (legacy),0.9228344989503234,0.8456689979006469,0.8629278923068125,0.7041269328607375,0.07154322124478962,0.25529550249570165,0.9425641025641026,0.6462728551336147,0.7667918231122236,"[[5039, 56], [503, 919]]"
Ensemble Voting (legacy),0.9227610699107947,0.8455221398215893,0.8629227182767953,0.7052227094487439,0.07154961595791494,0.2553643009705266,0.9416581371545547,0.6469760900140648,0.7669862442684452,"[[5038, 57], [502, 920]]"
Ensemble Stacking (legacy),0.9278755681433909,0.8557511362867818,0.8714349676253018,0.704911188128788,0.06444735093272735,0.2307291564594368,0.9342857142857143,0.689873417721519,0.7936893203883495,"[[5026, 69], [441, 981]]"
Ensemble Blending (legacy),0.9215874474989267,0.8431748949978535,0.8647057601084442,0.6947226328451407,0.07097076970579401,0.35542104988460593,0.9370829361296473,0.6912798874824191,0.7956292998785917,"[[5029, 66], [439, 983]]"
Ensemble Bagging (full),0.9162314720852348,0.8324629441704696,0.9321359101265146,0.680028129395218,0.11555279528013077,0.3660899657854347,0.856390977443609,0.80098452883263,0.8277616279069767,"[[1231, 191], [283, 1139]]"
Ensemble Bagging (no NN),0.9168397554206452,0.8336795108412904,0.9325058813303273,0.6849507735583685,0.11591731636837672,0.37048411584886637,0.859596713965646,0.8094233473980309,0.8337558855487143,"[[1234, 188], [271, 1151]]"
Ensemble Bagging (RF+GB),0.9225620696271766,0.8451241392543531,0.938419276716981,0.6976090014064698,0.10864539163193866,0.34294866930205925,0.875,0.7974683544303798,0.8344370860927153,"[[1260, 162], [288, 1134]]"
Ensemble Voting (full),0.9162596608251683,0.8325193216503366,0.9321735355349133,0.680028129395218,0.11554152313618017,0.3660541707821741,0.8561746987951807,0.79957805907173,0.8269090909090909,"[[1231, 191], [285, 1137]]"
Ensemble Voting (no NN),0.9168516243637752,0.8337032487275504,0.9325214737412997,0.6856540084388185,0.1159061968167751,0.3704557160812929,0.859596713965646,0.8094233473980309,0.8337558855487143,"[[1234, 188], [271, 1151]]"
Ensemble Voting (RF+GB),0.9225620696271766,0.8451241392543531,0.938419276716981,0.6976090014064698,0.10864539163193866,0.34294866930205925,0.875,0.7974683544303798,0.8344370860927153,"[[1260, 162], [288, 1134]]"
Ensemble Stacking (full),0.9222277610623495,0.844455522124699,0.9382892362474506,0.6919831223628692,0.11117272959186361,0.3482411995123591,0.8639097744360902,0.8080168776371308,0.8350290697674418,"[[1241, 181], [273, 1149]]"
Ensemble Stacking (no NN),0.9223118327428534,0.8446236654857069,0.9384082273185029,0.6947960618846695,0.11080983120853263,0.3477194465710009,0.8650075414781297,0.8066104078762306,0.8347889374090247,"[[1243, 179], [275, 1147]]"
Ensemble Stacking (RF+GB),0.9222574334201745,0.844514866840349,0.9382474673555884,0.6962025316455697,0.11073833148423148,0.3481308721684893,0.8606741573033708,0.8080168776371308,0.8335146898803046,"[[1236, 186], [273, 1149]]"
Ensemble Blending (full),0.9149090740048385,0.8298181480096769,0.9335016218983334,0.6905766526019691,0.13118006174996835,0.4931684725676895,0.8588410104011887,0.8129395218002813,0.8352601156069365,"[[1232, 190], [266, 1156]]"
Ensemble Blending (no NN),0.9150055091677696,0.8300110183355391,0.933584348494907,0.6912798874824191,0.13088172704174642,0.4921437770516134,0.857992565055762,0.8115330520393812,0.8341163715215034,"[[1231, 191], [268, 1154]]"
Ensemble Blending (RF+GB),0.9150851299945996,0.8301702599891991,0.9334549014496883,0.689873417721519,0.13090624743601723,0.49255827622071874,0.8559762435040832,0.8108298171589311,0.8327916215240159,"[[1228, 194], [269, 1153]]"
